,Population,Coal_TWh,Oil_TWh,Gas_TWh,Hydropower_TWh,Nuclear_TWh,Solar_TWh,OtherRenewables_TWh,TraditionalBiomass_TWh,Wind_TWh,Biofuels_TWh
1960-01-01,30672478864.0,15442,11097,4472,689,0,0,0,8889,0,0
1965-01-01,33721330171.0,16140,18109,6303,923,26,0,18,9162,0,0
1966-01-01,34467033890.0,16324,19496,6869,984,34,0,20,9218,0,0
1967-01-01,35209941215.0,16061,20891,7375,1006,41,0,20,9274,0,0
1968-01-01,35966656261.0,16301,22675,8044,1059,52,0,22,9331,0,0
1969-01-01,36760903761.0,16799,24577,8833,1122,62,0,23,9387,0,0
1970-01-01,37566537546.0,17059,26708,9614,1175,79,0,26,9444,0,0
1971-01-01,38392919187.0,16966,28205,10292,1227,110,0,28,9499,0,0
1972-01-01,39209254864.0,17154,30378,10861,1285,152,0,30,9553,0,0
1973-01-01,40020267516.0,17668,32746,11378,1303,204,0,32,9608,0,0
1974-01-01,40833908318.0,17682,32272,11656,1431,267,0,34,9663,0,0
1975-01-01,41631905986.0,18025,31948,11661,1449,370,0,34,9718,0,0
1976-01-01,42417278723.0,18688,34030,12356,1443,433,0,38,9774,0,0
1977-01-01,43200048478.0,19241,35215,12761,1492,539,0,41,9830,0,0
1978-01-01,43996356313.0,19458,36426,13294,1614,626,0,43,9886,0,0
1979-01-01,44811947557.0,20364,37024,14119,1695,651,0,46,9943,0,0
1980-01-01,45637465390.0,20858,35577,14239,1732,712,0,49,10000,0,0
1981-01-01,46485120357.0,21150,34296,14394,1769,841,0,53,10106,0,0
1982-01-01,47367632118.0,21384,33198,14469,1801,912,0,61,10213,0,0
1983-01-01,48260574942.0,22045,32969,14703,1878,1034,0,68,10321,0,0
1984-01-01,49152829609.0,23000,33739,15903,1941,1255,0,76,10430,0,0
1985-01-01,50062531515.0,23986,33789,16261,1980,1489,0,78,10541,0,0
1986-01-01,50999525386.0,24256,34803,16419,2007,1595,0,86,10653,0,0
1987-01-01,51961266499.0,25210,35499,17281,2034,1735,0,92,10765,0,0
1988-01-01,52933574450.0,25965,36703,18089,2099,1891,0,94,10879,0,0
1989-01-01,53904679868.0,26213,37300,18869,2088,1945,0,104,10995,3,0
1990-01-01,54896113715.0,25895,37691,19483,2159,2000,0,117,11111,4,91
1991-01-01,55857246276.0,25643,37691,19975,2209,2096,1,122,11243,4,102
1992-01-01,56790118740.0,25550,38344,20067,2209,2112,0,131,11376,5,98
1993-01-01,57724835163.0,25675,38099,20269,2341,2185,1,135,11511,6,100
1994-01-01,58651348641.0,25774,38935,20394,2357,2226,1,140,11647,7,111
1995-01-01,59577575165.0,25954,39445,21108,2486,2322,1,146,11785,8,115
1996-01-01,60490269453.0,26572,40380,22164,2520,2407,1,151,11925,9,115
1997-01-01,61400873730.0,26527,41413,22033,2566,2390,1,161,12066,12,132
1998-01-01,62302426410.0,26360,41624,22439,2587,2431,1,169,12209,16,126
1999-01-01,63191942696.0,26522,42371,23075,2606,2524,1,177,12414,21,122
2000-01-01,64074846140.0,27417,42897,24000,2652,2581,1,186,12500,31,116
2001-01-01,64953931654.0,27853,43278,24331,2584,2654,1,192,12500,38,127
2002-01-01,65832344577.0,28945,43639,25053,2632,2696,2,206,12470,52,149
2003-01-01,66713931505.0,31497,44610,25753,2628,2642,2,218,12329,63,185
2004-01-01,67600943612.0,33664,46256,26736,2821,2762,3,235,12160,85,209
2005-01-01,68494092999.0,36171,46824,27464,2916,2769,4,255,12076,104,246
2006-01-01,69393616177.0,38071,47367,28175,3028,2803,6,272,11993,133,313
2007-01-01,70298466429.0,40224,47958,29325,3079,2746,8,295,11911,171,424
2008-01-01,71215948104.0,40770,47566,30025,3257,2738,13,316,11829,221,574
2009-01-01,72138983563.0,40149,46654,29411,3252,2699,21,340,11747,276,636
2010-01-01,73063619709.0,41997,48087,31606,3436,2769,34,380,11667,347,734
2011-01-01,73984617758.0,44018,48550,32372,3501,2653,65,399,11553,441,775
2012-01-01,74921327028.0,44185,49157,33219,3650,2471,101,431,11441,531,789
2013-01-01,75874494795.0,44993,49689,33767,3814,2493,139,464,11330,636,857
2014-01-01,76836505538.0,44954,50014,33994,3894,2541,198,501,11220,706,933
2015-01-01,77802228842.0,43844,50892,34781,3885,2576,257,538,11111,832,937
2016-01-01,78775964097.0,43196,51920,35589,4013,2615,328,548,11111,964,970
